number,Title,Year,genre,runtime,Ranking,voteing
1.,365 Days: This Day,2022,"Drama, Romance            ",111 min,2.5,"
Votes:
13,909
"
2.,365 Days,2020,"Drama, Romance            ",114 min,3.3,"
Votes:
81,864
"
3.,Fifty Shades of Grey,2015,"Drama, Romance, Thriller            ",125 min,4.1,"
Votes:
315,644
| Gross:
$166.17M

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644

315,644
"
4.,Fantastic Four,2015,"Action, Adventure, Sci-Fi            ",100 min,4.3,"
Votes:
164,105
| Gross:
$56.12M

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105

164,105
"
5.,Fifty Shades Darker,2017,"Drama, Romance            ",118 min,4.5,"
Votes:
100,773
| Gross:
$114.38M

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773

100,773
"
6.,Fifty Shades Freed,2018,"Drama, Romance, Thriller            ",105 min,4.4,"
Votes:
64,378
| Gross:
$100.41M

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378

64,378
"
7.,Batman & Robin,1997,"Action, Sci-Fi            ",125 min,3.7,"
Votes:
250,446
| Gross:
$107.33M

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446

250,446
"
8.,Epic Movie,2007,"Adventure, Comedy, Fantasy            ",86 min,2.4,"
Votes:
105,216
| Gross:
$39.74M

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216

105,216
"
9.,Cats,2019,"Comedy, Drama, Family            ",110 min,2.8,"
Votes:
50,138
"
10.,The Cat in the Hat,2003,"Adventure, Comedy, Family            ",82 min,4.0,"
Votes:
82,123
| Gross:
$101.15M

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123

82,123
"
11.,The Human Centipede (First Sequence),2009,Horror            ,92 min,4.4,"
Votes:
78,245
| Gross:
$0.18M

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245

78,245
"
12.,Cinderella,I 2021,"Comedy, Family, Fantasy            ",113 min,4.2,"
Votes:
40,000
"
13.,Superhero Movie,2008,"Action, Comedy, Sci-Fi            ",75 min,4.6,"
Votes:
68,359
| Gross:
$26.64M

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359

68,359
"
14.,The Last Airbender,2010,"Action, Adventure, Family            ",103 min,4.0,"
Votes:
162,153
| Gross:
$131.56M

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153

162,153
"
15.,Striptease,1996,"Comedy, Crime, Drama            ",115 min,4.5,"
Votes:
45,491
| Gross:
$33.11M

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491

45,491
"
16.,The Adventures of Sharkboy and Lavagirl 3-D,2005,"Action, Adventure, Comedy            ",93 min,3.6,"
Votes:
37,359
| Gross:
$39.18M

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359

37,359
"
17.,Super Mario Bros.,1993,"Adventure, Comedy, Family            ",104 min,4.1,"
Votes:
53,799
| Gross:
$20.92M

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799

53,799
"
18.,Space Jam: A New Legacy,2021,"Animation, Adventure, Comedy            ",115 min,4.4,"
Votes:
68,598
"
19.,Basic Instinct 2,2006,"Drama, Mystery, Thriller            ",114 min,4.3,"
Votes:
39,436
| Gross:
$5.97M

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436

39,436
"
20.,Movie 43,2013,Comedy            ,94 min,4.3,"
Votes:
104,970
| Gross:
$8.83M

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970

104,970
"
21.,Gully,2019,"Crime, Drama            ",84 min,1.7,"
Votes:
18,414
"
22.,Barb Wire,1996,"Action, Sci-Fi            ",98 min,3.4,"
Votes:
28,789
| Gross:
$3.79M

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789

28,789
"
